operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,house,|Argentina|Capital Federal|Villa Devoto|,"-34.596475,-58.513517",264000.0,USD,4002873.6,264000.0,,155.0,,1703.225806451613,,4.0,,http://villa-devoto.properati.com.ar/11p6p_venta_casa_villa-devoto_terraza_re-max-total-iii
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Del Viso|,"-34.4437805,-58.8438408",86000.0,USD,1303966.4,86000.0,56.0,50.0,1535.7142857142858,1720.0,,2.0,1800,http://del-viso.properati.com.ar/12izd_venta_departamentos_del-viso_balcon_jardin_garage_le-bleu
sell,apartment,|Argentina|Capital Federal|Balvanera|,"-34.6101303,-58.4173851",55000.0,USD,833932.0,55000.0,21.0,21.0,2619.0476190476197,2619.0476190476197,,1.0,743,http://balvanera.properati.com.ar/11rer_venta_departamentos_balvanera_garage_lexinton-propiedades_937
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Florida|,"-34.5338568,-58.4804753",149000.0,USD,2259197.6,149000.0,64.0,57.0,2328.125,2614.035087719298,,3.0,,http://florida.properati.com.ar/115bk_venta_departamentos_florida_balcon_suite_lavadero_parrilla_terraza_garage_estrenar_dic-propiedades_c80
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.3942337,-58.69763565",250000.0,USD,3790600.0,250000.0,,,,,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/11g8r_venta_casa_tigre_balcon_suite_jardin_lavadero_parrilla_patio_piscina_toilette_vestidor_dependencias_garage_aire-acondicionado_estrenar_losa-radiante_m-m-propiedades_bhs
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Burzaco|,"-34.8343743,-58.3976893",180000.0,USD,2729232.0,180000.0,430.0,256.0,418.6046511627907,703.125,,,,http://burzaco.properati.com.ar/fzzu_venta_casa_burzaco
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5769677,-58.5712963",85000.0,USD,1288804.0,85000.0,,,,,,,,http://san-martin.properati.com.ar/rev6_venta_casa_san-martin
sell,house,|Argentina|Capital Federal|Floresta|,"-34.6187838,-58.493994",239000.0,USD,3623813.6,239000.0,225.0,85.0,1062.2222222222222,2811.764705882353,,3.0,,http://floresta.properati.com.ar/12u1e_venta_casa_floresta_pje-alejandro-korn_4100_jardin_patio_luminoso_lanvel-propiedades
sell,apartment,|Argentina|Capital Federal|Balvanera|,"-34.610085,-58.409733",164000.0,USD,2486633.6,164000.0,,120.0,,1366.6666666666667,,4.0,,http://balvanera.properati.com.ar/10zpn_venta_departamentos_capital-federal_rivadavia-av-_3065_patio_toilette_garage_aire-acondicionado_re-max-ayres
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-31.6646683,-63.9005894",255000.0,USD,3866412.0,255000.0,250.0,250.0,1020.0,1020.0,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/10mz0_venta_casa_pilar_suite_parrilla_piscina_toilette_vestidor_luminoso_garage_bustamante-propiedades_be7
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.507585,-58.477945",490000.0,USD,7429576.0,490000.0,,91.0,,5384.615384615385,9.0,3.0,,http://olivos.properati.com.ar/z21x_venta_departamentos_olivos_piscina_sum_garage_amenities_vicente-lopez
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Lomas del Mirador|,"-34.6775894,-58.5616913",1000000.0,ARS,997224.37,65769.56,,,,,,,,http://lomas-del-mirador.properati.com.ar/etup_venta_departamento_lomas-del-mirador
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,"-34.5437885,-58.5713924",,,,,248.0,167.0,,,,4.0,,http://villa-ballester.properati.com.ar/11vmg_venta_casa_villa-ballester_garage_inmobiliaria-alemana
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|Muñiz|,"-34.5396792,-58.7042916",82000.0,USD,1243316.8,82000.0,47.0,47.0,1744.6808510638298,1744.6808510638298,10.0,2.0,,http://muniz.properati.com.ar/104ix_venta_departamentos_muniz_garage_placard_aire-acondicionado_federico-negro-estudio-inmobiliario
