operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Moreno|,,180000.0,USD,2729232.0,180000.0,,,,,,,,http://moreno.properati.com.ar/10rhr_venta_casa_moreno_lavadero_piscina_mosca-propiedades_bp3
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6624160375,-58.6044728878",125000.0,USD,1895300.0,125000.0,,,,,,,,http://moron-bs-as-g-b-a-zona-oeste.properati.com.ar/ju9j_venta_departamento_moron
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús|,"-34.7033677191,-58.3923923872",175000.0,USD,2653420.0,175000.0,100.0,92.0,1750.0,1902.1739130434785,,4.0,2,http://lanus.properati.com.ar/pzqo_venta_departamentos_lanus
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,,,,,199.0,110.0,,,,3.0,,http://ramos-mejia.properati.com.ar/sat2_venta_ph_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,,90000.0,USD,1364616.0,90000.0,,70.0,,1285.7142857142858,,3.0,,http://ituzaingo.properati.com.ar/smi9_venta_departamentos_ituzaingo
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|Bella Vista|,"-34.580822,-58.7059822",90000.0,USD,1364616.0,90000.0,1050.0,,85.71428571428571,,,,,http://bella-vista-san-miguel.properati.com.ar/i0bs_venta_casa_bella-vista
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|,"-34.6501996137,-58.7923693657",85000.0,USD,1288804.0,85000.0,68.0,68.0,1250.0,1250.0,,,,http://moreno-bs-as-g-b-a-zona-oeste.properati.com.ar/g6nx_venta_departamento_moreno
sell,apartment,|Argentina|Capital Federal|Villa General Mitre|,"-34.616004,-58.470506",120000.0,USD,1819488.0,120000.0,,55.0,,2181.818181818182,,2.0,,http://villa-general-mitre.properati.com.ar/xxph_venta_departamentos_villa-general-mitre_balcon_lavadero_parrilla_patio_terraza_vestidor_devoto
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,"-34.5525858,-58.560368",,,,,57.0,50.0,,,1.0,2.0,,http://villa-ballester.properati.com.ar/yolx_venta_departamentos_villa-ballester_belgrano_4900_lavadero_parrilla_piscina_inmobiliaria-alemana
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,240000.0,USD,3638976.0,240000.0,760.0,170.0,315.7894736842105,1411.764705882353,,,,http://benavidez.properati.com.ar/uwo9_venta_casa_benavidez_100
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Lomas del Mirador|,"-34.6697642,-58.511819",90000.0,USD,1364616.0,90000.0,170.0,90.0,529.4117647058823,1000.0,,,,http://lomas-del-mirador.properati.com.ar/mmwv_venta_casa_lomas-del-mirador
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.5007768,-58.5227964",370000.0,USD,5610088.0,370000.0,430.0,250.0,860.4651162790698,1480.0,,,,http://martinez.properati.com.ar/nbac_venta_casa_martinez_lima_2100
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,390000.0,USD,5913336.0,390000.0,800.0,180.0,487.5,2166.6666666666665,,,,http://benavidez.properati.com.ar/zg5u_venta_casa_benavidez_700_suite_jardin_lavadero_parrilla_piscina_toilette_vestidor_vista_dependencias_maria-de-tigre-patricia-asensio-csi-4332
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.6010707,-58.5665167",390000.0,ARS,388917.53,25650.13,45.0,,570.002888888889,,,,,http://caseros.properati.com.ar/118vs_venta_departamentos_caseros_balcon_piscina_placard_aire-acondicionado_grupo-dinal-s-a
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5927179628,-58.3950410728",129500.0,USD,1963530.8,129500.0,35.0,30.0,3700.0,4316.666666666667,6.0,1.0,,http://recoleta.properati.com.ar/yxmy_venta_departamentos_recoleta_ayacucho_hidromasaje_lavadero_parrilla_amenities_luciano-cazenave-inversiones-inmobiliarias
